Epoch	Dice_Train	Dice_Val	Dice_1	Dice_11	Dice_2	Dice_22	Dice_3	Dice_33	Dice_4	Dice_44	Dice_5	Dice_55	Dice_6	Dice_66	Dice_7	Dice_77	Dice_8	Dice_88	Dice_9	Dice_99	Dice_10	Dice_1010	
28.000000	0.852879	0.746769	0.891009	0.747503	0.746689	0.621598	0.766887	0.658874	0.809430	0.713299	0.826377	0.753954	0.910763	0.837833	0.876362	0.798622	0.850111	0.770888	0.915845	0.810735	0.935317	0.754381	
29.000000	0.854335	0.746440	0.892017	0.750884	0.750369	0.629387	0.770456	0.659239	0.811225	0.712934	0.827810	0.749852	0.911275	0.836616	0.876205	0.797011	0.851003	0.765370	0.916261	0.809209	0.936735	0.753901	
30.000000	0.855489	0.746033	0.893860	0.741868	0.752172	0.615204	0.772841	0.653770	0.811675	0.712686	0.828647	0.755019	0.911821	0.838187	0.877751	0.799951	0.850864	0.773459	0.917357	0.811956	0.937905	0.758227	
31.000000	0.856332	0.741761	0.894675	0.724923	0.754355	0.595233	0.772312	0.651231	0.812874	0.710514	0.829669	0.753984	0.912302	0.840443	0.877758	0.804326	0.851450	0.772250	0.918694	0.810105	0.939233	0.754599	
32.000000	0.856968	0.741313	0.895835	0.744321	0.756268	0.610031	0.775282	0.649777	0.813593	0.702973	0.829261	0.748785	0.912275	0.835744	0.877861	0.804809	0.851111	0.771058	0.918485	0.804452	0.939711	0.741176	
33.000000	0.858350	0.742354	0.896595	0.719727	0.758791	0.618018	0.778933	0.656839	0.815537	0.715842	0.829951	0.755853	0.912639	0.840975	0.877886	0.799613	0.851924	0.763657	0.919702	0.810030	0.941546	0.742984	
34.000000	0.859227	0.740340	0.897422	0.720645	0.760922	0.617531	0.780816	0.649184	0.816924	0.712486	0.831805	0.752035	0.912680	0.835874	0.877765	0.795379	0.851425	0.770127	0.919554	0.810632	0.942955	0.739508	
35.000000	0.860418	0.739403	0.898580	0.720804	0.764987	0.595689	0.783351	0.646907	0.818313	0.699838	0.831559	0.752369	0.913201	0.839094	0.878299	0.805432	0.851672	0.764106	0.920337	0.799895	0.943879	0.769893	
36.000000	0.860603	0.740952	0.898059	0.739655	0.763920	0.621668	0.784349	0.652606	0.818763	0.703053	0.832935	0.744110	0.913512	0.833741	0.878438	0.795418	0.851908	0.764150	0.920202	0.812075	0.943942	0.743040	
37.000000	0.861356	0.743384	0.899064	0.749617	0.765838	0.619543	0.785986	0.650636	0.819991	0.711161	0.832694	0.754922	0.913326	0.839660	0.878582	0.799566	0.852032	0.766049	0.921218	0.806917	0.944826	0.735773	
38.000000	0.862609	0.742175	0.900662	0.746564	0.768802	0.620785	0.789268	0.646211	0.821534	0.702545	0.833829	0.748385	0.914040	0.837762	0.879205	0.799557	0.852367	0.766314	0.920400	0.808471	0.945979	0.745157	
39.000000	0.862916	0.740051	0.901957	0.717886	0.771062	0.607321	0.788356	0.650118	0.820272	0.708033	0.832625	0.751181	0.913970	0.836719	0.879396	0.798502	0.852624	0.767990	0.922422	0.812007	0.946475	0.750757	
40.000000	0.866428	0.741750	0.902494	0.720699	0.775672	0.612522	0.797726	0.652068	0.827098	0.710147	0.837972	0.753383	0.915255	0.839372	0.880843	0.799186	0.853743	0.766241	0.923676	0.811412	0.949805	0.752465	
41.000000	0.867570	0.741720	0.904565	0.735930	0.778952	0.622237	0.799136	0.650315	0.828409	0.704376	0.837907	0.746265	0.915776	0.834372	0.881100	0.798512	0.854287	0.767704	0.924599	0.809617	0.950967	0.747872	
42.000000	0.867983	0.742817	0.905053	0.731687	0.779857	0.618640	0.800467	0.652324	0.828684	0.707532	0.838036	0.750131	0.915834	0.838532	0.880967	0.801275	0.854541	0.767992	0.924787	0.809486	0.951602	0.750574	
43.000000	0.868280	0.741883	0.905524	0.729054	0.781255	0.617205	0.800230	0.649912	0.828780	0.705544	0.838469	0.748343	0.915779	0.836318	0.881254	0.799646	0.854520	0.767419	0.924982	0.811510	0.952003	0.753876	
44.000000	0.868468	0.742191	0.905681	0.719973	0.781158	0.618238	0.801466	0.651657	0.829231	0.707640	0.837968	0.750971	0.915932	0.838194	0.881210	0.800542	0.854586	0.766895	0.925174	0.812520	0.952274	0.755281	
45.000000	0.868614	0.742465	0.905866	0.745984	0.781958	0.619587	0.801033	0.650688	0.829401	0.708449	0.838264	0.750092	0.915929	0.836379	0.881232	0.797780	0.854622	0.766294	0.925171	0.809714	0.952665	0.739678	
46.000000	0.868847	0.741862	0.906140	0.725187	0.782013	0.619298	0.801964	0.652320	0.829558	0.708713	0.838516	0.749719	0.916052	0.838257	0.881362	0.800429	0.854661	0.767441	0.925352	0.809622	0.952851	0.747632	
47.000000	0.868989	0.742960	0.906257	0.738703	0.782670	0.623075	0.802037	0.650911	0.829560	0.704747	0.838370	0.747037	0.916159	0.835466	0.881486	0.799366	0.854692	0.767450	0.925632	0.811466	0.953032	0.751378	
48.000000	0.869197	0.744887	0.906483	0.733285	0.782983	0.626240	0.802978	0.655128	0.829791	0.711714	0.838641	0.750105	0.915866	0.838839	0.881355	0.797671	0.855021	0.766049	0.925465	0.812255	0.953387	0.757588	
49.000000	0.869290	0.741711	0.906792	0.720343	0.783293	0.618566	0.802625	0.652363	0.829949	0.710382	0.838707	0.751139	0.916087	0.839197	0.881474	0.799153	0.854821	0.765028	0.925626	0.809252	0.953525	0.751682	
